P31Z19UDEC01;354.65;131.16;1.70;28.48;42.01;-36.829716;-73.036971;2016-01-01;8:0:0
P31Z19UDEC01;339.88;61.04;7.83;29.16;18.46;-36.830238;-73.035068;2016-01-01;8:1:0
P31Z19UDEC01;127.78;9.64;7.48;26.03;8.97;-36.829542;-73.037932;2016-01-01;8:2:0
P31Z19UDEC01;27.99;15.51;4.57;4.70;86.26;-36.831093;-73.036369;2016-01-01;8:3:0
P31Z19UDEC01;158.43;296.58;1.08;63.95;20.89;-36.828935;-73.037629;2016-01-01;8:4:0
P31Z19UDEC01;104.36;280.89;8.78;7.32;41.15;-36.829723;-73.035738;2016-01-01;8:5:0
P31Z19UDEC01;315.21;64.73;9.84;62.55;77.03;-36.830458;-73.035176;2016-01-01;8:6:0
P31Z19UDEC01;310.30;140.83;9.33;87.02;40.90;-36.830624;-73.035165;2016-01-01;8:7:0
P31Z19UDEC01;355.69;45.17;0.70;54.75;91.59;-36.830010;-73.035533;2016-01-01;8:8:0
P31Z19UDEC01;316.56;286.52;6.28;86.79;76.33;-36.829674;-73.036481;2016-01-01;8:9:0
P31Z19UDEC01;171.13;274.23;5.98;39.02;15.87;-36.831143;-73.037935;2016-01-01;8:10:0
P31Z19UDEC01;286.40;31.63;6.91;90.92;90.21;-36.829598;-73.035404;2016-01-01;8:11:0
P31Z19UDEC01;18.62;35.03;0.11;87.78;19.79;-36.829748;-73.037003;2016-01-01;8:12:0
P31Z19UDEC01;220.23;253.38;5.13;22.15;66.72;-36.829216;-73.034799;2016-01-01;8:13:0
P31Z19UDEC01;300.55;115.01;4.38;38.20;25.65;-36.829992;-73.034781;2016-01-01;8:14:0
P31Z19UDEC01;71.83;190.28;7.31;9.52;20.19;-36.830719;-73.036806;2016-01-01;8:15:0
P31Z19UDEC01;8.04;100.91;7.40;41.55;76.85;-36.830593;-73.037476;2016-01-01;8:16:0
P31Z19UDEC01;135.42;204.54;3.26;37.79;76.98;-36.830301;-73.036744;2016-01-01;8:17:0
P31Z19UDEC01;325.56;195.51;9.63;42.69;78.83;-36.830230;-73.036091;2016-01-01;8:18:0
P31Z19UDEC01;30.86;148.77;5.64;58.86;96.16;-36.829760;-73.037247;2016-01-01;8:19:0
P31Z19UDEC01;29.20;192.28;4.17;49.99;65.42;-36.830000;-73.034517;2016-01-01;8:20:0
P31Z19UDEC01;114.94;157.05;8.35;18.89;47.46;-36.830497;-73.036040;2016-01-01;8:21:0
P31Z19UDEC01;244.36;281.63;3.80;87.50;64.16;-36.831163;-73.034856;2016-01-01;8:22:0
P31Z19UDEC01;335.19;65.89;8.13;35.38;80.97;-36.829704;-73.037116;2016-01-01;8:23:0
P31Z19UDEC01;196.86;109.27;4.08;9.32;35.20;-36.830706;-73.038051;2016-01-01;8:24:0
P31Z19UDEC01;71.71;186.58;2.44;0.06;36.49;-36.829334;-73.037726;2016-01-01;8:25:0
