47
SAN001;17:58:00;-30.589342;-70.072203;1;71.10;293.43;344.20;9;8.76;1.04
SAN002;8:58:00;-30.589342;-70.072203;1;71.10;293.43;344.20;9;8.76;1.04
SAN002;8:1:00;-30.227752;-70.895919;1;725.32;350.81;359.62;3;6.58;0.70
SAN002;8:3:00;-30.627358;-70.666415;1;3.61;91.00;221.68;6;4.16;3.97
SAN002;8:57:00;-30.364331;-70.694665;1;923.03;187.43;271.09;2;2.63;5.02
SAN002;8:56:00;-30.192207;-70.253615;0;714.87;119.64;159.07;3;9.51;2.38
SAN002;8:20:00;-30.067831;-70.555406;0;864.40;20.42;46.56;4;1.37;6.44
SAN002;8:21:00;-30.669820;-70.074229;0;127.79;352.44;318.02;10;0.70;0.31
SAN002;8:22:00;-30.799384;-70.463598;1;745.46;11.18;252.56;4;4.17;1.32
SAN002;8:50:00;-30.658850;-70.551385;0;392.85;292.61;188.33;5;0.36;8.93
