46
46_01_METROPOLITANA_01;8:1:00;-30.881069;-70.845324;0;928.31;237.33;278.84;2;3.29;7.81
46_01_METROPOLITANA_01;8:2:00;-30.148497;-70.331001;1;347.15;218.00;291.88;7;1.53;8.02
46_01_METROPOLITANA_01;8:3:00;-30.663058;-70.685511;0;748.54;39.04;30.61;2;7.35;3.26
46_01_METROPOLITANA_01;8:4:00;-30.382058;-70.989094;0;439.55;14.84;357.12;5;8.65;7.97
46_01_METROPOLITANA_01;8:5:00;-30.342327;-70.430036;0;931.09;316.68;236.08;5;4.29;3.21
46_01_METROPOLITANA_01;8:6:00;-30.079950;-70.692869;1;707.65;324.67;136.01;7;8.68;1.74
46_01_METROPOLITANA_01;8:7:00;-30.363986;-70.028516;1;778.21;252.05;226.81;9;1.05;1.14




